MOV D,S   01DDDSSS
MVI D,#   00DDD110
LXI RP,#  00RP0001
LDA a     00111010
STA a     00110010
LHLD a    00101010
SHLD a    00100010
LDAX RP   00RP1010
STAX RP   00RP0010
XCHG      11101011
ADD S     10000SSS
ADI #     11000110
ADC S     10001SSS
ACI #     11001110
SUB S     10010SSS
SUI #     11010110
SBB S     10011SSS
SBI #     11011110
INR D     00DDD100
DCR D     00DDD101
INX RP    00RP0011
DCX RP    00RP1011
DAD RP    00RP1001
DAA       00100111
ANA S     10100SSS
ANI #     11100110
ORA S     10110SSS
ORI #     11110110
XRA S     10101SSS
XRI #     11101110
CMP S     10111SSS
CPI #     11111110
RLC       00000111
RRC       00001111
RAL       00010111
RAR       00011111
CMA       00101111
CMC       00111111
STC       00110111
JMP a     11000011
Jccc a    11CCC010
CALL a    11001101
Cccc a    11CCC100
RET       11001001
Rccc      11CCC000
RST n     11NNN111
PCHL      11101001
PUSH RP   11RP0101
POP RP    11RP0001
XTHL      11100011
SPHL      11111001
IN p      11011011
OUT p     11010011
EI        11111011
DI        11110011
HLT       01110110
NOP       00000000
