MOV D,S   01DDDSSS 5
MOV M,S   01110SSS 7
MOV D,M   01DDD110 7
HLT       01110110 7
MVI D,#   00DDD110 7
MVI M,#   00001110 10
INR D     00DDD100 5
DCR D     00DDD101 5
INR M     00110100 10
DCR M     00110101 10
ADD S     10000SSS 4
ADC S     10001SSS 4 
SUB S     10010SSS 4
SBB S     10011SSS 4
ANA S     10100SSS 4
XRA S     10101SSS 4
ORA S     10110SSS 4
CMP S     10111SSS 4
ADD M     10000110 7
ADC M     10001110 7
SUB M     10010110 7
SBB M     10011110 7
ANA M     10100110 7
XRA M     10101110 7
ORA M     10110110 7
CMP M     10111110 7
ADI #     11000110 7
ACI #     11001110 7
SUI #     11010110 7
SBI #     11011110 7
ANI #     11100110 7
XRI #     11101110 7
ORI #     11110110 7
CPI #     11111110 7
RLC       00000111 4
RRC       00001111 4
RAL       00010111 4
RAR       00011111 4
JMP a     11000011 10
Jccc a    11CCC010 10
CALL a    11001101 17
Cccc a    11CCC100 11/17
RET       11001001 10
Rccc      11CCC000 5/11
RST n     11NNN111 11
IN p      11011011 10
OUT p     11010011 10
LXI RP,#  00RP0001 10
PUSH RP   11RP0101 5
POP RP    11RP0001 10
STA a     00110010 13
LDA a     00111010 13
XCHG      11101011 4
XTHL      11100011 18
SPHL      11111001 5
PCHL      11101001 5
DAD RP    00RP1001 10
STAX RP   00RP0010 7
LDAX RP   00RP1010 7
INX RP    00RP0011 5
DCX RP    00RP1011 5
CMA       00101111 4
STC       00110111 4
CMC       00111111 4
DAA       00100111 4
SHLD a    00100010 16
LHLD a    00101010 16
EI        11111011 4
DI        11110011 4
NOP       00000000 4
